query	target	prog_score	cirpin_score	tm_score	tm_score_cp	tm_diff
d3a5fa_	d5lxea_	0.47	0.92	0.51	0.51	0.00
d5kina_	d5lxea_	0.44	0.92	0.53	0.53	0.00
d3na8a_	d5lxea_	0.48	0.93	0.50	0.50	0.00
d2d69a1	d5lxea_	0.51	0.91	0.55	0.55	0.00
d2xfwa1	d5lxea_	0.49	0.91	0.52	0.52	0.00
d2rfga_	d5lxea_	0.47	0.92	0.52	0.52	0.00
d1f74a_	d5lxea_	0.49	0.93	0.51	0.51	0.00
d2r8wa_	d5lxea_	0.51	0.92	0.52	0.52	0.00
d3b4ua_	d5lxea_	0.51	0.92	0.51	0.51	0.00
d1xkya1	d5lxea_	0.48	0.93	0.52	0.52	0.00
d1ujpa_	d5lxea_	0.43	0.91	0.54	0.54	0.00
d3eb2a_	d5lxea_	0.50	0.92	0.52	0.52	0.00
d2ydaa_	d5lxea_	0.52	0.90	0.51	0.51	0.00
d1vkha1	d6v7na1	0.56	0.93	0.51	0.51	0.00
d1xg2b1	d3d19a1	0.57	0.93	0.59	0.59	0.00
d2czva_	d2vhla2	0.60	0.91	0.51	0.51	0.00
d2uuia1	d1k04a_	0.47	0.97	0.51	0.51	0.00
d1gqia2	d1qbaa4	0.58	0.92	0.53	0.53	0.00
d1k77a1	d3dg3a2	0.60	0.95	0.61	0.57	-0.04
d6udjb1	d2illa2	0.59	0.91	0.62	0.62	0.00
d1rhca_	d5kina_	0.42	0.92	0.52	0.52	0.00
d1xg2b1	d3d19a2	0.55	0.92	0.59	0.59	0.00
d1k77a1	d4x2ra1	0.54	0.91	0.60	0.60	-0.00
d4aa7a1	d4lcta2	0.60	0.96	0.55	0.55	0.00
d1yx1a1	d3o63a1	0.59	0.92	0.58	0.58	0.00
d1sr9a2	d3raoa1	0.50	0.91	0.53	0.53	0.00
d4pmda1	d3raoa1	0.58	0.91	0.51	0.51	0.00
d1l8na2	d2choa3	0.57	0.94	0.58	0.58	0.00
d2nxca1	d1ve3a1	0.54	0.97	0.54	0.54	0.00
d4aa7a1	d4ogqf_	0.55	0.90	0.57	0.57	0.00
d1ztda1	d1u61a_	0.56	0.94	0.53	0.53	0.00
d1p16a2	d1fvia2	0.52	0.90	0.57	0.57	0.00
d1yzfa1	d3bzwa1	0.60	0.98	0.63	0.63	0.00
d1x7fa2	d3aama_	0.59	0.92	0.55	0.55	0.00
d3thaa1	d3aama_	0.60	0.91	0.56	0.56	-0.00
d4aa7a1	d3s8gc_	0.56	0.91	0.57	0.57	0.00
d1y8ca_	d2nxca1	0.55	0.96	0.54	0.54	0.00
d1xxla1	d2nxca1	0.54	0.95	0.51	0.51	0.00
d1ri5a_	d2nxca1	0.51	0.94	0.54	0.54	0.00
d1wzna1	d2nxca1	0.53	0.93	0.54	0.54	0.00
d5epea_	d2nxca1	0.58	0.92	0.52	0.52	0.00
d2avna1	d2nxca1	0.55	0.95	0.52	0.52	0.00
d3orha_	d2nxca1	0.59	0.97	0.53	0.53	0.00
d1vl5a_	d2nxca1	0.54	0.97	0.53	0.53	0.00
d6fnua1	d1r30a_	0.58	0.90	0.57	0.56	-0.00
d2yyua_	d1k77a1	0.60	0.91	0.60	0.60	0.00
d3gd6a2	d1k77a1	0.58	0.94	0.63	0.60	-0.03
d2pgwa2	d1k77a1	0.59	0.91	0.59	0.59	0.00
d2czva_	d4aqla2	0.56	0.91	0.52	0.52	0.00
d2rfga_	d1rhca_	0.45	0.90	0.51	0.51	0.00
d1xkya1	d1rhca_	0.46	0.91	0.50	0.50	0.00
d1ujpa_	d1rhca_	0.43	0.91	0.52	0.50	-0.02
d1g8ja2	d1aa6a2	0.58	0.93	0.73	0.73	0.00
d3mkva2	d2czva_	0.57	0.93	0.53	0.53	0.00
d1p1ma2	d2czva_	0.59	0.91	0.57	0.57	0.00
d2paja2	d2czva_	0.59	0.93	0.55	0.55	0.00
d4aa7a1	d1rzhh2	0.58	0.96	0.56	0.56	0.00
d4f8xa_	d1lucb_	0.57	0.90	0.53	0.53	0.00
d4aa7a1	d3wgue_	0.58	0.94	0.51	0.51	0.00
d4m3pa_	d1ra0a2	0.59	0.90	0.50	0.50	0.00
d1xdna_	d1p16a2	0.52	0.92	0.50	0.50	0.00
d4aa7a1	d1dpjb_	0.54	0.95	0.52	0.52	0.00
d1ri5a_	d2b3ta_	0.59	0.93	0.50	0.50	0.00
d1wzna1	d2b3ta_	0.60	0.91	0.52	0.52	0.00
d1q90l_	d4aa7a1	0.51	0.92	0.52	0.52	0.00
d5b5ei_	d4aa7a1	0.56	0.93	0.50	0.50	0.00
d1rh5c_	d4aa7a1	0.59	0.90	0.54	0.54	0.00
d6trax_	d4aa7a1	0.58	0.95	0.59	0.56	-0.02
d1g8ja2	d2jioa2	0.56	0.92	0.75	0.75	0.00
d1vkha1	d1q0ra_	0.57	0.98	0.59	0.59	0.00
d1uc6a1	d5m0yb1	0.51	0.91	0.50	0.50	0.00
d1v6ta_	d2j13a1	0.57	0.91	0.57	0.57	0.00
d2i5ia1	d2j13a1	0.58	0.92	0.55	0.55	0.00
d1g8ja2	d3iam33	0.55	0.90	0.55	0.55	0.00
