query	target	prog_score	cirpin_score	tm_score_cp
d3ozua3	d5jsqa_	0.57	0.93	0.47
d1krha2	d5jsqa_	0.58	0.92	0.44
d2naca2	d5jsqa_	0.59	0.91	0.41
d4eh1a2	d5jsqa_	0.59	0.93	0.44
d1tvca2	d5jsqa_	0.58	0.92	0.46
d1f20a2	d5jsqa_	0.57	0.90	0.47
d2piaa2	d5jsqa_	0.55	0.92	0.44
d1qfja2	d5jsqa_	0.60	0.92	0.45
d3lo8a2	d5jsqa_	0.56	0.90	0.45
d5m0yb1	d3ry4a1	0.48	0.91	0.43
d3agxa2	d3ry4a1	0.55	0.90	0.36
d2j01v1	d2pz4a1	0.54	0.91	0.34
d3e1za_	d2ccva1	0.53	0.93	0.45
d1rhfa1	d2ccva1	0.56	0.95	0.48
d2nw2b2	d2ccva1	0.56	0.94	0.41
d1biha2	d2ccva1	0.51	0.90	0.44
d1iama2	d2ccva1	0.55	0.92	0.46
d3cafa_	d2ccva1	0.54	0.91	0.43
d1pbya4	d2ccva1	0.59	0.90	0.42
d1xaua_	d2ccva1	0.54	0.91	0.47
d5fm5o1	d2ccva1	0.54	0.92	0.47
d2edna1	d2ccva1	0.58	0.91	0.47
d2c34a1	d2ccva1	0.53	0.93	0.35
d4ra0c1	d2ccva1	0.55	0.90	0.47
d3cx2a_	d2ccva1	0.56	0.93	0.49
d1l6pa_	d2ccva1	0.43	0.93	0.43
d4gafb3	d2ccva1	0.58	0.93	0.47
d6cjza1	d2ccva1	0.37	0.93	0.49
d6vx8a_	d6sdpa_	0.41	0.90	0.27
d4bkha1	d1pp9f_	0.60	0.92	0.26
d1fs1a1	d4f42a_	0.60	0.92	0.25
d1lr0a1	d2dbsa1	0.53	0.90	0.23
d3qdpa_	d2dbsa1	0.55	0.93	0.30
d2a2pa1	d2dbsa1	0.58	0.90	0.28
d2jxta1	d2dbsa1	0.44	0.91	0.33
d2fhza1	d2dbsa1	0.51	0.91	0.31
d2hg4a4	d2dbsa1	0.55	0.91	0.34
d2vz8a5	d2dbsa1	0.57	0.92	0.36
d2hkea2	d6sj5a_	0.42	0.92	0.29
d4peoa_	d6sj5a_	0.58	0.91	0.43
d1saya2	d1k6da_	0.44	0.94	0.38
d1l7da2	d1k6da_	0.45	0.92	0.38
d1kbla2	d1f8fa1	0.56	0.91	0.25
d2rc5a2	d1reqb2	0.49	0.90	0.46
d3qfta2	d1reqb2	0.49	0.91	0.47
d1tvca2	d1reqb2	0.51	0.90	0.44
d1f20a2	d1reqb2	0.51	0.91	0.47
d2piaa2	d1reqb2	0.48	0.90	0.44
d1zk5a_	d1uf2c2	0.59	0.90	0.36
d1ekja_	d3mqda2	0.59	0.92	0.28
d2d0oa2	d3mqda2	0.59	0.93	0.35
d4h0oa2	d3mqda2	0.58	0.90	0.41
d3sk3a2	d3mqda2	0.59	0.91	0.41
d1z05a3	d3mqda2	0.60	0.90	0.47
d1cz9a_	d3mqda2	0.55	0.92	0.43
d3p1ga_	d3mqda2	0.54	0.93	0.46
d3s3na2	d3mqda2	0.55	0.91	0.28
d6gfaa1	d3mqda2	0.60	0.92	0.40
d1ex2a_	d3mqda2	0.37	0.90	0.42
d4krea3	d3mqda2	0.55	0.90	0.37
d3djcc2	d3mqda2	0.60	0.91	0.29
d4h0pa2	d3mqda2	0.59	0.94	0.30
d3i33a1	d3mqda2	0.60	0.93	0.42
d1woqa1	d3mqda2	0.60	0.94	0.47
d1zbfa1	d3mqda2	0.53	0.95	0.39
d2igia_	d3mqda2	0.51	0.91	0.44
d4czga1	d3mqda2	0.60	0.92	0.45
d3u3ga_	d3mqda2	0.53	0.93	0.36
d1i39a_	d3mqda2	0.50	0.94	0.36
d2fb5a1	d3mqda2	0.58	0.95	0.26
d2qxfa_	d3mqda2	0.57	0.91	0.21
d4a2ba2	d3mqda2	0.60	0.93	0.43
d2zgya1	d3mqda2	0.55	0.91	0.44
d1t6ca1	d3mqda2	0.59	0.91	0.46
d1ekea_	d3mqda2	0.54	0.94	0.37
d1jl1a_	d3mqda2	0.54	0.92	0.44
d6ksra2	d3mqda2	0.59	0.94	0.33
d3sk3a1	d3mqda2	0.57	0.92	0.41
d3mdqa2	d3mqda2	0.59	0.90	0.30
d1ddza2	d3mqda2	0.52	0.91	0.24
d2bgga3	d3mqda2	0.53	0.92	0.40
d1q8ia1	d3mqda2	0.53	0.91	0.25
d4oo0a_	d3mqda2	0.37	0.90	0.45
d2etja1	d3mqda2	0.56	0.95	0.26
d4kb1a_	d3mqda2	0.53	0.93	0.42
d3kkra1	d3mqda2	0.53	0.90	0.38
d5cz1a1	d3mqda2	0.53	0.91	0.43
d2d0ob1	d3mqda2	0.53	0.90	0.42
d2lsna1	d3mqda2	0.52	0.93	0.44
d2amha1	d3mqda2	0.36	0.91	0.45
d1u04a4	d3mqda2	0.52	0.92	0.40
d3mxma_	d3mqda2	0.50	0.94	0.43
d2zgya2	d3mqda2	0.58	0.91	0.45
d4ijna1	d3mqda2	0.59	0.94	0.45
d3o4wa1	d3mqda2	0.60	0.91	0.39
d6r2na2	d3mqda2	0.59	0.93	0.28
d1saza1	d3mqda2	0.60	0.91	0.35
d2h3gx2	d3mqda2	0.60	0.91	0.40
d4gnia1	d3mqda2	0.59	0.92	0.41
d2fsja2	d3mqda2	0.59	0.91	0.42
d4v0fa1	d4g1ma3	0.59	0.90	0.39
d1wv8a1	d2igda_	0.48	0.91	0.47
d1gcca_	d2igda_	0.44	0.91	0.48
d3dmba1	d2vbua_	0.56	0.92	0.49
d3fdea1	d2vbua_	0.50	0.92	0.24
d1i0ra_	d2vbua_	0.59	0.92	0.38
d3w2wa2	d1tw9a1	0.46	0.90	0.30
d3besl_	d1tw9a1	0.48	0.92	0.33
d3m4ia_	d4evma_	0.50	0.91	0.31
d1gz0a2	d4evma_	0.60	0.94	0.35
d2a6ca1	d1bvsa2	0.57	0.90	0.44
d2ofya1	d1bvsa2	0.53	0.92	0.35
d2o38a1	d1bvsa2	0.54	0.91	0.40
d1qhba_	d3goda_	0.53	0.90	0.21
d1gm5a2	d1go3e1	0.58	0.90	0.33
d1gs5a_	d2gk6a1	0.37	0.93	0.36
d7nloa_	d2gk6a1	0.36	0.94	0.36
d1o97d1	d2gk6a1	0.59	0.91	0.32
d2j0wa1	d2gk6a1	0.37	0.94	0.32
d2akoa1	d2gk6a1	0.38	0.94	0.35
d2brxa1	d2gk6a1	0.37	0.94	0.31
d4a7wa_	d2gk6a1	0.37	0.95	0.31
d2w21a_	d2gk6a1	0.39	0.92	0.34
d3c20a1	d2gk6a1	0.37	0.95	0.30
d2cdqa1	d2gk6a1	0.37	0.94	0.31
d2j4ja_	d2gk6a1	0.37	0.93	0.31
d2ogxa_	d2gk6a1	0.35	0.90	0.32
d1o97c_	d2gk6a1	0.60	0.92	0.32
d2c42a2	d2gk6a1	0.49	0.90	0.23
d3zzha_	d2gk6a1	0.36	0.95	0.35
d1e19a_	d2gk6a1	0.39	0.94	0.31
d2va1a_	d2gk6a1	0.36	0.95	0.37
d1twfl_	d4qf3a1	0.58	0.93	0.28
d2b5ga_	d2py5a1	0.58	0.91	0.26
d4m5ra1	d2py5a1	0.54	0.92	0.33
d1iyka2	d2py5a1	0.57	0.91	0.29
d1p0ha_	d2py5a1	0.57	0.92	0.22
d1z4ra1	d2py5a1	0.57	0.91	0.31
d5d9aa1	d2py5a1	0.58	0.90	0.33
d6kxda1	d2py5a1	0.51	0.90	0.28
d2hqya1	d2py5a1	0.55	0.90	0.33
d1pyya1	d1adza_	0.57	0.90	0.29
d1pyya2	d1adza_	0.59	0.92	0.29
d1gm5a2	d4jbma1	0.52	0.91	0.34
d1fjgc2	d7cmna1	0.39	0.95	0.45
d1dt9a3	d7cmna1	0.44	0.91	0.26
d4af1a1	d7cmna1	0.45	0.91	0.25
d1ig0a2	d5cgea1	0.45	0.90	0.49
d1ig3a2	d5cgea1	0.45	0.90	0.42
d1vjpa4	d2yyda1	0.42	0.92	0.46
d1dt9a3	d2yyda1	0.51	0.91	0.36
d1qtn.1	d2yyda1	0.56	0.90	0.34
d4af1a1	d2yyda1	0.50	0.91	0.33
d1ojza_	d1orua_	0.52	0.93	0.27
d6ro0a_	d1orua_	0.56	0.91	0.30
d2a5db1	d1orua_	0.51	0.94	0.35
d2j3xa2	d1orua_	0.55	0.92	0.24
d2j3xa1	d1orua_	0.55	0.94	0.25
d2c8ee_	d1orua_	0.52	0.94	0.27
d4dv8a1	d1orua_	0.50	0.91	0.17
d1wfxa_	d1orua_	0.50	0.93	0.28
d6e3aa_	d1orua_	0.56	0.95	0.26
d1f0la2	d1orua_	0.50	0.93	0.32
d1qs1a1	d1orua_	0.52	0.93	0.26
d7aaca2	d1orua_	0.56	0.91	0.28
d5wtza1	d1orua_	0.54	0.93	0.25
d4xsgb_	d1orua_	0.54	0.93	0.24
d3ki2a1	d1orua_	0.54	0.93	0.26
d4gv2a2	d1orua_	0.56	0.90	0.29
d4h0ya2	d1orua_	0.52	0.94	0.26
d4h03a1	d1orua_	0.53	0.91	0.23
d4k6lg_	d1orua_	0.57	0.94	0.29
d1qs1a2	d1orua_	0.54	0.96	0.27
d1ikpa2	d1orua_	0.51	0.92	0.27
d5zqaa_	d3ar4a4	0.51	0.92	0.28
d1xp4a2	d3ar4a4	0.49	0.91	0.28
d2f4ma1	d3ar4a4	0.55	0.90	0.27
d5troa2	d3ar4a4	0.51	0.91	0.26
d2qpna_	d3ar4a4	0.50	0.91	0.29
d1inpa_	d3ar4a4	0.55	0.91	0.22
d6n1na1	d3ar4a4	0.56	0.92	0.31
d6o9sa_	d3ar4a4	0.48	0.90	0.29
d6huha1	d3ar4a4	0.53	0.92	0.32
d4f7ya_	d3ar4a4	0.49	0.92	0.24
d3brma_	d3ar4a4	0.46	0.92	0.29
d6kbya1	d3ar4a4	0.52	0.90	0.23
d1es5a_	d3ar4a4	0.51	0.92	0.30
d6edma1	d3ar4a4	0.53	0.92	0.30
d4ztka_	d3ar4a4	0.53	0.91	0.32
d3beca2	d3ar4a4	0.49	0.91	0.28
d1pyya4	d3ar4a4	0.51	0.90	0.24
d1wwma1	d1ax8a_	0.59	0.90	0.45
d2icwg_	d1ax8a_	0.58	0.90	0.29
d1nhya1	d1ax8a_	0.42	0.93	0.30
d4ewga1	d1ekja_	0.60	0.90	0.27
d6koga2	d1ekja_	0.58	0.91	0.31
d2hg4a3	d1ekja_	0.58	0.91	0.25
d4c72a2	d1ekja_	0.60	0.91	0.32
d1peqa2	d2gb3a1	0.52	0.92	0.26
d2j5ha1	d1xi7a_	0.55	0.96	0.29
d2ms3a_	d1xi7a_	0.52	0.90	0.28
d1qxfa_	d1xi7a_	0.56	0.92	0.28
d1vzia2	d1xi7a_	0.56	0.93	0.25
d6melb1	d2hgsa4	0.60	0.91	0.35
d2r85a2	d2hgsa4	0.50	0.92	0.39
d1gsoa3	d2hgsa4	0.53	0.91	0.38
d1t36a6	d2hgsa4	0.53	0.92	0.40
d2ia1a1	d2hgsa4	0.39	0.91	0.20
d1ehia2	d2hgsa4	0.56	0.91	0.45
d4fu0a2	d2hgsa4	0.56	0.91	0.43
d1w96a3	d2hgsa4	0.54	0.92	0.42
d6xrub1	d2hgsa4	0.58	0.93	0.34
d5s5df2	d2hgsa4	0.56	0.95	0.47
d1kbla3	d2hgsa4	0.57	0.95	0.24
d2a1ka_	d2hgsa4	0.56	0.91	0.19
d2w70a2	d2hgsa4	0.55	0.91	0.42
d2pbza2	d2hgsa4	0.53	0.90	0.37
d1t36a5	d2hgsa4	0.54	0.92	0.43
d2nu8b2	d2hgsa4	0.58	0.91	0.35
d2zjrs1	d3nfka_	0.57	0.91	0.23
d1fpoa2	d4he8k_	0.56	0.94	0.44
d3w5ha1	d1pj5a1	0.60	0.91	0.41
d2xnja1	d1pj5a1	0.58	0.92	0.50
d6id0c2	d1pj5a1	0.55	0.96	0.41
d2dy1a1	d1pj5a1	0.53	0.97	0.48
d2kx4a_	d1pj5a1	0.55	0.97	0.38
d2rc5a1	d1pj5a1	0.59	0.91	0.38
d5tv2a2	d1pj5a1	0.53	0.98	0.46
d1y7ea1	d1pj5a1	0.54	0.95	0.40
d1g7sa2	d1pj5a1	0.52	0.97	0.41
d5ylya1	d1pj5a1	0.60	0.93	0.44
d1tvca1	d1pj5a1	0.59	0.94	0.46
d3ozua2	d1pj5a1	0.59	0.94	0.49
d3b82a2	d1pj5a1	0.56	0.96	0.41
d3lo8a1	d1pj5a1	0.58	0.92	0.38
d1seia_	d5ekwa2	0.54	0.91	0.28
d3uqza2	d1kjna_	0.56	0.91	0.46
d3h1da1	d3tkta_	0.59	0.90	0.23
d1e7ua4	d3tkta_	0.58	0.91	0.25
d2btva_	d3tkta_	0.51	0.90	0.16
d6jx5a_	d3tkta_	0.59	0.90	0.25
d4jspa1	d3tkta_	0.59	0.91	0.27
d3ihya1	d3tkta_	0.56	0.91	0.26
d3er9b_	d3tkta_	0.55	0.92	0.25
d3equa1	d1b3ob4	0.52	0.91	0.24
d2b2ma1	d1b3ob4	0.56	0.90	0.25
d1pyya3	d1b3ob4	0.49	0.92	0.29
d1vqqa2	d1b3ob4	0.49	0.92	0.18
d1s12a_	d7bl46_	0.52	0.92	0.42
d2idla1	d7bl46_	0.56	0.91	0.44
d2hkea2	d7bl46_	0.44	0.93	0.30
d4peoa_	d7bl46_	0.54	0.92	0.46
d6xr5a2	d7bl46_	0.43	0.91	0.29
d1bbga_	d1fd3a_	0.51	0.95	0.26
d2hjqa2	d1fd3a_	0.51	0.90	0.35
d2outa2	d1fd3a_	0.51	0.93	0.21
d2gk6a2	d4l82a_	0.50	0.91	0.39
d1qfja1	d4l82a_	0.48	0.91	0.41
d3a9sa2	d4l82a_	0.59	0.90	0.34
d1krha1	d4l82a_	0.46	0.90	0.38
d4pj3a1	d4l82a_	0.48	0.91	0.42
d3jb9x1	d4l82a_	0.51	0.92	0.38
d1tvca1	d4l82a_	0.47	0.90	0.42
d1q9ca_	d1mv8a1	0.58	0.90	0.29
d1g8ea_	d1m93.1	0.54	0.91	0.25
d2qshx_	d1m93.1	0.51	0.90	0.33
d3zuka_	d1j8ua_	0.54	0.93	0.20
d4iuwa_	d1j8ua_	0.54	0.90	0.22
d2hgka1	d2qklb_	0.57	0.90	0.29
d2es9a1	d1llaa1	0.44	0.92	0.41
d1u0bb1	d1w98b1	0.52	0.91	0.25
d3bl2a_	d1w98b1	0.54	0.92	0.42
d2vofa1	d1w98b1	0.53	0.90	0.38
d1h3na1	d1w98b1	0.56	0.92	0.29
d1ddba_	d1w98b1	0.52	0.93	0.25
d1k3ka_	d1w98b1	0.50	0.92	0.28
d1rmka_	d5nw3a_	0.59	0.91	0.20
d2kraa1	d5nw3a_	0.59	0.90	0.19
d1lpba2	d5nw3a_	0.59	0.90	0.33
d1tfia_	d5nw3a_	0.54	0.90	0.30
d1eq1a_	d4o5ma2	0.57	0.91	0.50
d2doaa1	d2n8za1	0.57	0.91	0.30
d2fcla1	d1vlra1	0.53	0.90	0.28
d4aa7a1	d4ogqh_	0.55	0.94	0.49
d1gpja3	d1xtaa1	0.56	0.91	0.25
d3bjva_	d1xtaa1	0.60	0.95	0.28
d3oxpa1	d1xtaa1	0.59	0.95	0.33
d1cz9a_	d1tqya1	0.55	0.91	0.23
d3p1ga_	d1tqya1	0.55	0.93	0.23
d1ex2a_	d1tqya1	0.38	0.91	0.33
d4krea3	d1tqya1	0.56	0.91	0.26
d1vp2a_	d1tqya1	0.41	0.91	0.40
d6lw3a_	d1tqya1	0.55	0.91	0.28
d1zbfa1	d1tqya1	0.55	0.94	0.27
d2igia_	d1tqya1	0.52	0.91	0.26
d1u14a1	d1tqya1	0.41	0.94	0.22
d3u3ga_	d1tqya1	0.54	0.92	0.32
d1i39a_	d1tqya1	0.51	0.93	0.29
d2fb5a1	d1tqya1	0.59	0.95	0.26
d2qxfa_	d1tqya1	0.58	0.90	0.19
d1ekea_	d1tqya1	0.56	0.94	0.32
d1jl1a_	d1tqya1	0.55	0.91	0.30
d3sk3a1	d1tqya1	0.59	0.90	0.33
d2bgga3	d1tqya1	0.54	0.92	0.29
d1q8ia1	d1tqya1	0.54	0.90	0.19
d4oo0a_	d1tqya1	0.39	0.91	0.27
d2etja1	d1tqya1	0.57	0.94	0.23
d4kb1a_	d1tqya1	0.54	0.93	0.31
d2d0ob1	d1tqya1	0.50	0.91	0.23
d2lsna1	d1tqya1	0.52	0.93	0.24
d2amha1	d1tqya1	0.37	0.92	0.25
d1u04a4	d1tqya1	0.53	0.92	0.24
d3mxma_	d1tqya1	0.51	0.93	0.26
d1v7ra_	d1tqya1	0.40	0.91	0.38
d4jhca_	d1tqya1	0.39	0.91	0.39
d4aa7a1	d1o7d.1	0.58	0.95	0.48
d4uw2a3	d1h7sa1	0.39	0.90	0.26
d3ktoa_	d2rc5a2	0.59	0.90	0.48
d3cg4a_	d2rc5a2	0.54	0.93	0.50
d3kyjb1	d2rc5a2	0.55	0.93	0.49
d1xrsb1	d2rc5a2	0.48	0.92	0.43
d3zhoa_	d2rc5a2	0.42	0.91	0.39
d2f62a2	d2rc5a2	0.50	0.92	0.47
d1l1qa1	d2rc5a2	0.54	0.91	0.36
d1p6qa_	d2rc5a2	0.59	0.90	0.49
d2j67a_	d2rc5a2	0.54	0.92	0.50
d4d6ya_	d2rc5a2	0.59	0.92	0.50
d1reqa2	d2rc5a2	0.51	0.93	0.37
d1rlja1	d2rc5a2	0.56	0.91	0.47
d1unnc1	d2nn6a2	0.52	0.92	0.34
d2nysa1	d2nn6a2	0.42	0.90	0.30
d1jx4a1	d2nn6a2	0.51	0.90	0.30
d1i4ja_	d2ar5a1	0.42	0.92	0.42
d2hc5a1	d2ar5a1	0.57	0.95	0.45
d1vq8r1	d2ar5a1	0.40	0.93	0.31
d5m82a1	d1r0va1	0.52	0.93	0.23
d2gnxa2	d1r0va1	0.50	0.96	0.28
d1gz0a2	d2bmxa1	0.59	0.92	0.26
d4uyba1	d3fr7a2	0.56	0.91	0.19
d3n20b_	d3fr7a2	0.56	0.90	0.26
d4hwxa1	d1enfa2	0.60	0.94	0.31
d6i0ia_	d1enfa2	0.59	0.91	0.30
d1bbga_	d6avaa1	0.58	0.90	0.37
d3bsua1	d6avaa1	0.38	0.92	0.29
d1iqra1	d2o8sa1	0.60	0.92	0.27
d7axea_	d2o8sa1	0.58	0.90	0.27
d3i9la_	d1t9ha2	0.57	0.91	0.33
d1d3ya_	d1t9ha2	0.51	0.92	0.30
d6r77a_	d3ocaa_	0.60	0.91	0.23
d4mrta1	d3ocaa_	0.48	0.92	0.27
d2wasa_	d3ocaa_	0.48	0.90	0.23
d3ejxd1	d3ocaa_	0.60	0.90	0.27
d2wdsa_	d3ocaa_	0.50	0.90	0.27
d4lb0a_	d3ocaa_	0.59	0.92	0.23
d4jbda_	d3ocaa_	0.60	0.93	0.21
d4lwua_	d1dp7p_	0.57	0.91	0.42
d6zpea1	d1dp7p_	0.42	0.91	0.24
d1uhra1	d1dp7p_	0.55	0.92	0.44
d6y8ya2	d3epqa2	0.53	0.90	0.29
d5mu9a2	d3epqa2	0.38	0.90	0.26
d1pd0a4	d3epqa2	0.57	0.91	0.33
d2glza1	d3epqa2	0.48	0.91	0.34
d2gvia1	d3epqa2	0.49	0.93	0.31
d2im5a2	d7a3ha_	0.55	0.91	0.47
d1vlpa2	d7a3ha_	0.55	0.91	0.45
d4hl7a2	d7a3ha_	0.56	0.90	0.47
d2iiaa_	d2aana_	0.38	0.92	0.38
d3qvaa1	d2aana_	0.46	0.90	0.33
d4ywaa_	d2aana_	0.40	0.91	0.39
d1k28d1	d3w5ha1	0.49	0.95	0.34
d1v5va1	d3w5ha1	0.58	0.90	0.40
d1wrua2	d3w5ha1	0.53	0.93	0.32
d1w9aa_	d3w5ha1	0.47	0.91	0.43
d2p5zx3	d3w5ha1	0.50	0.94	0.27
d4r82a_	d3w5ha1	0.46	0.92	0.41
d2p5zx2	d3w5ha1	0.50	0.94	0.32
d2gmqa1	d3w5ha1	0.54	0.96	0.38
d3d37a2	d3w5ha1	0.49	0.95	0.25
d3cdda2	d3w5ha1	0.54	0.92	0.32
d1wrua1	d3w5ha1	0.50	0.91	0.27
d3d37a1	d3w5ha1	0.50	0.92	0.32
d3cdda1	d3w5ha1	0.51	0.90	0.28
d1k28d2	d3w5ha1	0.50	0.93	0.30
d1rz1a_	d3w5ha1	0.45	0.92	0.43
d1vloa1	d3w5ha1	0.57	0.93	0.41
d3c20a1	d4gi7a_	0.38	0.90	0.31
d7nloa_	d1zpda3	0.56	0.91	0.40
d1w5sa2	d1zpda3	0.56	0.90	0.35
d2j0wa1	d1zpda3	0.53	0.91	0.37
d2brxa1	d1zpda3	0.49	0.93	0.47
d4a7wa_	d1zpda3	0.53	0.90	0.47
d2w21a_	d1zpda3	0.56	0.91	0.46
d3c20a1	d1zpda3	0.51	0.92	0.36
d2cdqa1	d1zpda3	0.53	0.91	0.36
d1jqlb_	d1zpda3	0.57	0.94	0.39
d1g7sa4	d1zpda3	0.57	0.92	0.43
d1z3ix1	d1zpda3	0.58	0.96	0.29
d2gnoa2	d1zpda3	0.57	0.92	0.40
d2j4ja_	d1zpda3	0.55	0.91	0.37
d2ogxa_	d1zpda3	0.50	0.91	0.44
d4qqwa2	d1zpda3	0.57	0.92	0.37
d3zzha_	d1zpda3	0.55	0.91	0.41
d1e19a_	d1zpda3	0.51	0.90	0.25
d2gk6a3	d1zpda3	0.57	0.92	0.47
d1w4ra1	d1zpda3	0.60	0.94	0.43
d1ev0a_	d3ej9b_	0.56	0.93	0.40
d1neia_	d3ej9b_	0.47	0.91	0.40
d1auua_	d1g2sa_	0.44	0.97	0.30
d4dxwa_	d1nt2b_	0.56	0.91	0.27
d2ypoa_	d2j5ga_	0.57	0.90	0.27
d2yzsa_	d1u6za1	0.59	0.92	0.21
d4qqwa1	d1u6za1	0.54	0.91	0.45
d1hn0a1	d1u6za1	0.50	0.90	0.24
d6cw0a_	d2c0ga1	0.60	0.92	0.38
d4pkla1	d2c0ga1	0.55	0.92	0.41
d2yyna_	d2c0ga1	0.55	0.91	0.37
d6bqaa_	d2c0ga1	0.56	0.93	0.38
d3g0ja_	d2c0ga1	0.60	0.91	0.41
d4qspa1	d2c0ga1	0.59	0.90	0.39
d6haza_	d2c0ga1	0.55	0.92	0.43
d4qnsa1	d2c0ga1	0.55	0.91	0.38
d4nxja1	d2c0ga1	0.58	0.92	0.39
d3mqma1	d2c0ga1	0.54	0.92	0.36
d1e6ia_	d2c0ga1	0.58	0.93	0.38
d3nxba_	d2c0ga1	0.56	0.94	0.41
d6znva1	d2c0ga1	0.56	0.93	0.42
d5mwza_	d2c0ga1	0.55	0.93	0.36
d3iu5a1	d2c0ga1	0.57	0.93	0.44
d5s9ga_	d2c0ga1	0.57	0.92	0.38
d6fgga_	d2c0ga1	0.57	0.94	0.41
d6df4a_	d2c0ga1	0.59	0.91	0.35
d5bt3a_	d2c0ga1	0.58	0.92	0.38
d2ap1a1	d6y8ya2	0.53	0.90	0.33
d2qi2a2	d6y8ya2	0.51	0.93	0.49
d2aa4a2	d6y8ya2	0.51	0.90	0.34
d3djcc2	d6y8ya2	0.53	0.91	0.27
d2nrha2	d6y8ya2	0.54	0.92	0.32
d1woqa1	d6y8ya2	0.52	0.91	0.32
d4czga2	d6y8ya2	0.52	0.91	0.34
d1pd0a4	d6y8ya2	0.46	0.92	0.24
d4htla2	d6y8ya2	0.51	0.92	0.33
d2fxua2	d6y8ya2	0.53	0.92	0.28
d2hoea2	d6y8ya2	0.52	0.92	0.34
d2gupa2	d6y8ya2	0.52	0.91	0.34
d4czga1	d6y8ya2	0.53	0.91	0.36
d2vgna2	d6y8ya2	0.51	0.93	0.35
d1dt9a1	d6y8ya2	0.50	0.92	0.46
d2f9wa1	d6y8ya2	0.53	0.93	0.29
d3bexa2	d6y8ya2	0.53	0.92	0.38
d4af1a2	d6y8ya2	0.49	0.93	0.45
d4a2ba2	d6y8ya2	0.52	0.91	0.33
d3djca1	d6y8ya2	0.53	0.92	0.44
d2gupa1	d6y8ya2	0.53	0.91	0.40
d5tkwa2	d6y8ya2	0.56	0.93	0.29
d1iv0a_	d6y8ya2	0.49	0.92	0.38
d3bexa1	d6y8ya2	0.53	0.91	0.47
d6ksra2	d6y8ya2	0.51	0.90	0.25
d2ch5a2	d6y8ya2	0.53	0.91	0.34
d5ncka2	d6y8ya2	0.52	0.92	0.34
d2bh1a1	d6y8ya2	0.54	0.93	0.28
d1zbsa1	d6y8ya2	0.53	0.91	0.33
d1nu0a_	d6y8ya2	0.48	0.92	0.34
d1huxa_	d6y8ya2	0.54	0.91	0.22
d6q27a1	d6y8ya2	0.51	0.91	0.40
d1vhxa1	d6y8ya2	0.49	0.93	0.42
d2fxua1	d6y8ya2	0.53	0.91	0.39
d4htla1	d6y8ya2	0.52	0.91	0.31
d4ijna1	d6y8ya2	0.51	0.90	0.28
d1zc6a2	d6y8ya2	0.53	0.93	0.30
d6r2na2	d6y8ya2	0.52	0.91	0.24
d7bvza1	d6y8ya2	0.53	0.92	0.31
d1zbsa2	d6y8ya2	0.52	0.91	0.44
d7bvza2	d6y8ya2	0.52	0.91	0.33
d1zc6a1	d6y8ya2	0.54	0.92	0.45
d2h3gx2	d6y8ya2	0.52	0.92	0.31
d5jica1	d6y8ya2	0.55	0.93	0.27
d1woqa2	d6y8ya2	0.53	0.94	0.41
d6q27a2	d6y8ya2	0.52	0.92	0.34
d3pjla_	d1tjxa1	0.50	0.92	0.48
d3lzla_	d1tjxa1	0.52	0.93	0.44
d2ig3a_	d1g03a_	0.56	0.92	0.32
d1naza_	d1g03a_	0.55	0.90	0.33
