query	target	prog_score	cirpin_score	tm_score_cp
d3mqda2	d4kb1a_	0.53	0.93	0.43
d3mqda2	d3kkra1	0.53	0.90	0.41
d3mqda2	d5cz1a1	0.53	0.91	0.36
d3mqda2	d2d0ob1	0.53	0.90	0.42
d3mqda2	d2lsna1	0.52	0.93	0.45
d3mqda2	d2amha1	0.36	0.91	0.45
d3mqda2	d1u04a4	0.52	0.92	0.40
d3mqda2	d3mxma_	0.50	0.94	0.43
d3mqda2	d2zgya2	0.58	0.91	0.47
d3mqda2	d4ijna1	0.59	0.94	0.45
d3mqda2	d3o4wa1	0.60	0.91	0.39
d3mqda2	d6r2na2	0.59	0.93	0.25
d3mqda2	d1saza1	0.60	0.91	0.46
d3mqda2	d2h3gx2	0.60	0.91	0.41
d3mqda2	d4gnia1	0.59	0.92	0.41
d3mqda2	d2fsja2	0.59	0.91	0.43
d4g1ma3	d4v0fa1	0.59	0.90	0.39
d2igda_	d1wv8a1	0.48	0.91	0.46
d2igda_	d1gcca_	0.44	0.91	0.48
d2vbua_	d3dmba1	0.56	0.92	0.49
d2vbua_	d3fdea1	0.50	0.92	0.25
d2vbua_	d1i0ra_	0.59	0.92	0.39
d1tw9a1	d3w2wa2	0.46	0.90	0.26
d1tw9a1	d3besl_	0.48	0.92	0.35
d4evma_	d3m4ia_	0.50	0.91	0.32
d4evma_	d1gz0a2	0.60	0.94	0.33
d1bvsa2	d2a6ca1	0.57	0.90	0.46
d1bvsa2	d2ofya1	0.53	0.92	0.35
d1bvsa2	d2o38a1	0.54	0.91	0.40
d3goda_	d1qhba_	0.53	0.90	0.20
d1go3e1	d1gm5a2	0.58	0.90	0.32
d2gk6a1	d1gs5a_	0.37	0.93	0.33
d2gk6a1	d7nloa_	0.36	0.94	0.33
d2gk6a1	d1o97d1	0.59	0.91	0.33
d2gk6a1	d2j0wa1	0.37	0.94	0.35
d2gk6a1	d2akoa1	0.38	0.94	0.34
d2gk6a1	d2brxa1	0.37	0.94	0.35
d2gk6a1	d4a7wa_	0.37	0.95	0.31
d2gk6a1	d2w21a_	0.39	0.92	0.35
d2gk6a1	d3c20a1	0.37	0.95	0.35
d2gk6a1	d2cdqa1	0.37	0.94	0.33
d2gk6a1	d2j4ja_	0.37	0.93	0.36
d2gk6a1	d2ogxa_	0.35	0.90	0.36
d2gk6a1	d1o97c_	0.60	0.92	0.27
d2gk6a1	d2c42a2	0.49	0.90	0.23
d2gk6a1	d3zzha_	0.36	0.95	0.37
d2gk6a1	d1e19a_	0.39	0.94	0.36
d2gk6a1	d2va1a_	0.36	0.95	0.39
d4qf3a1	d1twfl_	0.58	0.93	0.28
d2py5a1	d2b5ga_	0.58	0.91	0.27
d2py5a1	d4m5ra1	0.54	0.92	0.33
d2py5a1	d1iyka2	0.57	0.91	0.25
d2py5a1	d1p0ha_	0.57	0.92	0.23
d2py5a1	d1z4ra1	0.57	0.91	0.34
d2py5a1	d5d9aa1	0.58	0.90	0.32
d2py5a1	d6kxda1	0.51	0.90	0.27
d2py5a1	d2hqya1	0.55	0.90	0.32
d1adza_	d1pyya1	0.57	0.90	0.29
d1adza_	d1pyya2	0.59	0.92	0.27
d4jbma1	d1gm5a2	0.52	0.91	0.34
d7cmna1	d1fjgc2	0.39	0.95	0.45
d7cmna1	d1dt9a3	0.44	0.91	0.28
d7cmna1	d4af1a1	0.45	0.91	0.29
d5cgea1	d1ig0a2	0.45	0.90	0.44
d5cgea1	d1ig3a2	0.45	0.90	0.43
d2yyda1	d1vjpa4	0.42	0.92	0.45
d2yyda1	d1dt9a3	0.51	0.91	0.35
d2yyda1	d1qtn.1	0.56	0.90	0.34
d2yyda1	d4af1a1	0.50	0.91	0.33
d2ek1a1	d1uv7a_	0.44	0.94	0.48
d1orua_	d1ojza_	0.52	0.93	0.27
d1orua_	d6ro0a_	0.56	0.91	0.30
d1orua_	d2a5db1	0.51	0.94	0.35
d1orua_	d2j3xa2	0.55	0.92	0.23
d1orua_	d2j3xa1	0.55	0.94	0.25
d1orua_	d2c8ee_	0.52	0.94	0.27
d1orua_	d4dv8a1	0.50	0.91	0.21
d1orua_	d1wfxa_	0.50	0.93	0.28
d1orua_	d6e3aa_	0.56	0.95	0.26
d1orua_	d1f0la2	0.50	0.93	0.32
d1orua_	d1qs1a1	0.52	0.93	0.25
d1orua_	d7aaca2	0.56	0.91	0.28
d1orua_	d5wtza1	0.54	0.93	0.25
d1orua_	d4xsgb_	0.54	0.93	0.24
d1orua_	d3ki2a1	0.54	0.93	0.25
d1orua_	d4gv2a2	0.56	0.90	0.29
d1orua_	d4h0ya2	0.52	0.94	0.26
d1orua_	d4h03a1	0.53	0.91	0.22
d1orua_	d4k6lg_	0.57	0.94	0.29
d1orua_	d1qs1a2	0.54	0.96	0.25
d1orua_	d1ikpa2	0.51	0.92	0.27
d3ar4a4	d5zqaa_	0.51	0.92	0.28
d3ar4a4	d1xp4a2	0.49	0.91	0.28
d3ar4a4	d2f4ma1	0.55	0.90	0.27
d3ar4a4	d5troa2	0.51	0.91	0.26
d3ar4a4	d2qpna_	0.50	0.91	0.28
d3ar4a4	d1inpa_	0.55	0.91	0.22
d3ar4a4	d6n1na1	0.56	0.92	0.29
d3ar4a4	d6o9sa_	0.48	0.90	0.29
d3ar4a4	d6huha1	0.53	0.92	0.32
d3ar4a4	d4f7ya_	0.49	0.92	0.29
d3ar4a4	d3brma_	0.46	0.92	0.28
d3ar4a4	d6kbya1	0.52	0.90	0.23
d3ar4a4	d1es5a_	0.51	0.92	0.30
d3ar4a4	d6edma1	0.53	0.92	0.30
d3ar4a4	d4ztka_	0.53	0.91	0.32
d3ar4a4	d3beca2	0.49	0.91	0.28
d3ar4a4	d1pyya4	0.51	0.90	0.27
d1l3wa3	d2ccva1	0.49	0.90	0.48
d1ax8a_	d1wwma1	0.59	0.90	0.44
d1ax8a_	d2icwg_	0.58	0.90	0.29
d1ax8a_	d1nhya1	0.42	0.93	0.37
d1ekja_	d3mqda2	0.59	0.92	0.28
d1ekja_	d4ewga1	0.60	0.90	0.29
d1ekja_	d6koga2	0.58	0.91	0.28
d1ekja_	d2hg4a3	0.58	0.91	0.25
d1ekja_	d4c72a2	0.60	0.91	0.26
d2gb3a1	d1peqa2	0.52	0.92	0.24
d1xi7a_	d2j5ha1	0.55	0.96	0.29
d1xi7a_	d2ms3a_	0.52	0.90	0.26
d1xi7a_	d1qxfa_	0.56	0.92	0.28
d1xi7a_	d1vzia2	0.56	0.93	0.24
d2hgsa4	d6melb1	0.60	0.91	0.35
d2hgsa4	d2r85a2	0.50	0.92	0.40
d2hgsa4	d1gsoa3	0.53	0.91	0.39
d2hgsa4	d1t36a6	0.53	0.92	0.41
d2hgsa4	d2ia1a1	0.39	0.91	0.20
d2hgsa4	d1ehia2	0.56	0.91	0.46
d2hgsa4	d4fu0a2	0.56	0.91	0.43
d2hgsa4	d1w96a3	0.54	0.92	0.42
d2hgsa4	d6xrub1	0.58	0.93	0.35
d2hgsa4	d5s5df2	0.56	0.95	0.48
d2hgsa4	d1kbla3	0.57	0.95	0.24
d2hgsa4	d2a1ka_	0.56	0.91	0.20
d2hgsa4	d2w70a2	0.55	0.91	0.43
d2hgsa4	d2pbza2	0.53	0.90	0.38
d2hgsa4	d1t36a5	0.54	0.92	0.44
d2hgsa4	d2nu8b2	0.58	0.91	0.35
d3nfka_	d2zjrs1	0.57	0.91	0.22
d4he8k_	d1fpoa2	0.56	0.94	0.44
d1pj5a1	d3w5ha1	0.60	0.91	0.43
d1pj5a1	d2xnja1	0.58	0.92	0.49
d1pj5a1	d6id0c2	0.55	0.96	0.40
d1pj5a1	d2f1la2	0.55	0.96	0.50
d1pj5a1	d2dy1a1	0.53	0.97	0.48
d1pj5a1	d2kx4a_	0.55	0.97	0.37
d1pj5a1	d2rc5a1	0.59	0.91	0.36
d1pj5a1	d5tv2a2	0.53	0.98	0.46
d1pj5a1	d1y7ea1	0.54	0.95	0.40
d1pj5a1	d2qgga1	0.58	0.97	0.50
d1pj5a1	d2e1ba1	0.54	0.96	0.50
d1pj5a1	d1g7sa2	0.52	0.97	0.41
d1pj5a1	d5ylya1	0.60	0.93	0.46
d1pj5a1	d1tvca1	0.59	0.94	0.46
d1pj5a1	d3ozua2	0.59	0.94	0.46
d1pj5a1	d3b82a2	0.56	0.96	0.31
d1pj5a1	d2piaa1	0.60	0.96	0.49
d1pj5a1	d3lo8a1	0.58	0.92	0.38
d5ekwa2	d1seia_	0.54	0.91	0.24
d1kjna_	d3uqza2	0.56	0.91	0.43
d3tkta_	d3h1da1	0.59	0.90	0.23
d3tkta_	d1e7ua4	0.58	0.91	0.27
d3tkta_	d2btva_	0.51	0.90	0.16
d3tkta_	d6jx5a_	0.59	0.90	0.23
d3tkta_	d4jspa1	0.59	0.91	0.27
d3tkta_	d3ihya1	0.56	0.91	0.28
d3tkta_	d3er9b_	0.55	0.92	0.26
d1b3ob4	d3equa1	0.52	0.91	0.24
d1b3ob4	d2b2ma1	0.56	0.90	0.29
d1b3ob4	d1pyya3	0.49	0.92	0.26
d1b3ob4	d1vqqa2	0.49	0.92	0.18
d7bl46_	d1s12a_	0.52	0.92	0.43
d7bl46_	d2idla1	0.56	0.91	0.44
d7bl46_	d2hkea2	0.44	0.93	0.28
d7bl46_	d4peoa_	0.54	0.92	0.45
d7bl46_	d6xr5a2	0.43	0.91	0.30
d1fd3a_	d1bbga_	0.51	0.95	0.30
d1fd3a_	d2hjqa2	0.51	0.90	0.25
d1fd3a_	d2outa2	0.51	0.93	0.22
d4l82a_	d2gk6a2	0.50	0.91	0.39
d4l82a_	d1qfja1	0.48	0.91	0.41
d4l82a_	d3a9sa2	0.59	0.90	0.26
d4l82a_	d1krha1	0.46	0.90	0.44
d4l82a_	d4pj3a1	0.48	0.91	0.46
d4l82a_	d3jb9x1	0.51	0.92	0.41
d4l82a_	d1tvca1	0.47	0.90	0.41
d1mv8a1	d1q9ca_	0.58	0.90	0.29
d1m93.1	d1g8ea_	0.54	0.91	0.26
d1m93.1	d2qshx_	0.51	0.90	0.33
d1j8ua_	d3zuka_	0.54	0.93	0.20
d1j8ua_	d4iuwa_	0.54	0.90	0.21
d2qklb_	d2hgka1	0.57	0.90	0.31
d1llaa1	d2es9a1	0.44	0.92	0.49
d1w98b1	d1u0bb1	0.52	0.91	0.25
d1w98b1	d3bl2a_	0.54	0.92	0.40
d1w98b1	d2vofa1	0.53	0.90	0.36
d1w98b1	d1h3na1	0.56	0.92	0.29
d1w98b1	d1ddba_	0.52	0.93	0.32
d1w98b1	d1k3ka_	0.50	0.92	0.28
d5nw3a_	d1rmka_	0.59	0.91	0.22
d5nw3a_	d2kraa1	0.59	0.90	0.24
d5nw3a_	d1lpba2	0.59	0.90	0.27
d5nw3a_	d1tfia_	0.54	0.90	0.43
d4o5ma2	d1eq1a_	0.57	0.91	0.48
d2n8za1	d2doaa1	0.57	0.91	0.27
d1vlra1	d2fcla1	0.53	0.90	0.28
d4ogqh_	d4aa7a1	0.55	0.94	0.49
d1xtaa1	d1gpja3	0.56	0.91	0.31
d1xtaa1	d3bjva_	0.60	0.95	0.39
d1xtaa1	d3oxpa1	0.59	0.95	0.30
d1tqya1	d1cz9a_	0.55	0.91	0.23
d1tqya1	d3p1ga_	0.55	0.93	0.28
d1tqya1	d1ex2a_	0.38	0.91	0.26
d1tqya1	d4krea3	0.56	0.91	0.30
d1tqya1	d1vp2a_	0.41	0.91	0.40
d1tqya1	d6lw3a_	0.55	0.91	0.33
d1tqya1	d1zbfa1	0.55	0.94	0.23
d1tqya1	d2igia_	0.52	0.91	0.26
d1tqya1	d1u14a1	0.41	0.94	0.31
d1tqya1	d3u3ga_	0.54	0.92	0.32
d1tqya1	d1i39a_	0.51	0.93	0.34
d1tqya1	d2fb5a1	0.59	0.95	0.26
d1tqya1	d2qxfa_	0.58	0.90	0.20
d1tqya1	d1ekea_	0.56	0.94	0.32
d1tqya1	d1jl1a_	0.55	0.91	0.31
d1tqya1	d3sk3a1	0.59	0.90	0.33
d1tqya1	d2bgga3	0.54	0.92	0.35
d1tqya1	d1q8ia1	0.54	0.90	0.19
d1tqya1	d4oo0a_	0.39	0.91	0.27
d1tqya1	d2etja1	0.57	0.94	0.25
d1tqya1	d4kb1a_	0.54	0.93	0.35
d1tqya1	d2d0ob1	0.50	0.91	0.28
d1tqya1	d2lsna1	0.52	0.93	0.31
d1tqya1	d2amha1	0.37	0.92	0.25
d1tqya1	d1u04a4	0.53	0.92	0.29
d1tqya1	d3mxma_	0.51	0.93	0.26
d1tqya1	d1v7ra_	0.40	0.91	0.39
d1tqya1	d4jhca_	0.39	0.91	0.26
d1o7d.1	d4aa7a1	0.58	0.95	0.48
d1h7sa1	d4uw2a3	0.39	0.90	0.26
d2rc5a2	d1reqb2	0.49	0.90	0.46
d2rc5a2	d3ktoa_	0.59	0.90	0.34
d2rc5a2	d3cg4a_	0.54	0.93	0.47
d2rc5a2	d3kyjb1	0.55	0.93	0.49
d2rc5a2	d1xrsb1	0.48	0.92	0.48
d2rc5a2	d3zhoa_	0.42	0.91	0.48
d2rc5a2	d2f62a2	0.50	0.92	0.46
d2rc5a2	d1l1qa1	0.54	0.91	0.46
d2rc5a2	d1p6qa_	0.59	0.90	0.50
d2rc5a2	d2j67a_	0.54	0.92	0.50
d2rc5a2	d4d6ya_	0.59	0.92	0.36
d2rc5a2	d1reqa2	0.51	0.93	0.49
d2rc5a2	d1rlja1	0.56	0.91	0.49
d2nn6a2	d1unnc1	0.52	0.92	0.25
d2nn6a2	d2nysa1	0.42	0.90	0.31
d2nn6a2	d1jx4a1	0.51	0.90	0.26
d2ar5a1	d1i4ja_	0.42	0.92	0.30
d2ar5a1	d2hc5a1	0.57	0.95	0.45
d2ar5a1	d1vq8r1	0.40	0.93	0.34
d1r0va1	d5m82a1	0.52	0.93	0.26
d1r0va1	d2gnxa2	0.50	0.96	0.28
d2bmxa1	d1gz0a2	0.59	0.92	0.26
d3fr7a2	d4uyba1	0.56	0.91	0.19
d3fr7a2	d3n20b_	0.56	0.90	0.25
d1enfa2	d4hwxa1	0.60	0.94	0.31
d1enfa2	d6i0ia_	0.59	0.91	0.36
d6avaa1	d1bbga_	0.58	0.90	0.39
d6avaa1	d3bsua1	0.38	0.92	0.31
d2o8sa1	d1iqra1	0.60	0.92	0.30
d2o8sa1	d7axea_	0.58	0.90	0.25
d1t9ha2	d3i9la_	0.57	0.91	0.31
d1t9ha2	d1d3ya_	0.51	0.92	0.26
d3ocaa_	d6r77a_	0.60	0.91	0.23
d3ocaa_	d4mrta1	0.48	0.92	0.28
d3ocaa_	d2wasa_	0.48	0.90	0.23
d3ocaa_	d3ejxd1	0.60	0.90	0.27
d3ocaa_	d2wdsa_	0.50	0.90	0.25
d3ocaa_	d4lb0a_	0.59	0.92	0.23
d3ocaa_	d4jbda_	0.60	0.93	0.22
d1dp7p_	d4lwua_	0.57	0.91	0.40
d1dp7p_	d6zpea1	0.42	0.91	0.25
d1dp7p_	d1uhra1	0.55	0.92	0.41
d3epqa2	d6y8ya2	0.53	0.90	0.33
d3epqa2	d5mu9a2	0.38	0.90	0.26
d3epqa2	d1pd0a4	0.57	0.91	0.33
d3epqa2	d2glza1	0.48	0.91	0.34
d3epqa2	d2gvia1	0.49	0.93	0.31
d7a3ha_	d2im5a2	0.55	0.91	0.40
d7a3ha_	d1vlpa2	0.55	0.91	0.48
d7a3ha_	d4hl7a2	0.56	0.90	0.47
d2aana_	d2iiaa_	0.38	0.92	0.38
d2aana_	d3qvaa1	0.46	0.90	0.47
d2aana_	d4ywaa_	0.40	0.91	0.39
d3w5ha1	d1pj5a1	0.60	0.91	0.41
d3w5ha1	d1k28d1	0.49	0.95	0.32
d3w5ha1	d1v5va1	0.58	0.90	0.38
d3w5ha1	d1wrua2	0.53	0.93	0.35
d3w5ha1	d1w9aa_	0.47	0.91	0.46
d3w5ha1	d2p5zx3	0.50	0.94	0.36
d3w5ha1	d4r82a_	0.46	0.92	0.41
d3w5ha1	d2p5zx2	0.50	0.94	0.29
d3w5ha1	d2gmqa1	0.54	0.96	0.42
d3w5ha1	d3d37a2	0.49	0.95	0.29
d3w5ha1	d3cdda2	0.54	0.92	0.33
d3w5ha1	d1wrua1	0.50	0.91	0.34
d3w5ha1	d3d37a1	0.50	0.92	0.30
d3w5ha1	d3cdda1	0.51	0.90	0.37
d3w5ha1	d1k28d2	0.50	0.93	0.30
d3w5ha1	d1rz1a_	0.45	0.92	0.43
d3w5ha1	d1vloa1	0.57	0.93	0.42
d4gi7a_	d3c20a1	0.38	0.90	0.31
d1zpda3	d7nloa_	0.56	0.91	0.33
d1zpda3	d1w5sa2	0.56	0.90	0.35
d1zpda3	d2j0wa1	0.53	0.91	0.29
d1zpda3	d2brxa1	0.49	0.93	0.37
d1zpda3	d4a7wa_	0.53	0.90	0.47
d1zpda3	d2w21a_	0.56	0.91	0.35
d1zpda3	d3c20a1	0.51	0.92	0.33
d1zpda3	d2cdqa1	0.53	0.91	0.31
d1zpda3	d1jqlb_	0.57	0.94	0.36
d1zpda3	d1g7sa4	0.57	0.92	0.40
d1zpda3	d1z3ix1	0.58	0.96	0.30
d1zpda3	d2gnoa2	0.57	0.92	0.40
d1zpda3	d2j4ja_	0.55	0.91	0.36
d1zpda3	d2ogxa_	0.50	0.91	0.44
d1zpda3	d4qqwa2	0.57	0.92	0.40
d1zpda3	d3zzha_	0.55	0.91	0.33
d1zpda3	d1e19a_	0.51	0.90	0.37
d1zpda3	d2gk6a3	0.57	0.92	0.46
d1zpda3	d1w4ra1	0.60	0.94	0.46
d3ej9b_	d1ev0a_	0.56	0.93	0.40
d3ej9b_	d1neia_	0.47	0.91	0.36
d1g2sa_	d1auua_	0.44	0.97	0.30
d1nt2b_	d4dxwa_	0.56	0.91	0.27
d2j5ga_	d2ypoa_	0.57	0.90	0.21
d1u6za1	d2yzsa_	0.59	0.92	0.22
d1u6za1	d4qqwa1	0.54	0.91	0.45
d1u6za1	d1hn0a1	0.50	0.90	0.24
d2c0ga1	d6cw0a_	0.60	0.92	0.38
d2c0ga1	d4pkla1	0.55	0.92	0.38
d2c0ga1	d2yyna_	0.55	0.91	0.37
d2c0ga1	d6bqaa_	0.56	0.93	0.38
d2c0ga1	d3g0ja_	0.60	0.91	0.41
d2c0ga1	d4qspa1	0.59	0.90	0.39
d2c0ga1	d6haza_	0.55	0.92	0.38
d2c0ga1	d4qnsa1	0.55	0.91	0.38
d2c0ga1	d4nxja1	0.58	0.92	0.38
d2c0ga1	d3mqma1	0.54	0.92	0.36
d2c0ga1	d1e6ia_	0.58	0.93	0.38
d2c0ga1	d3nxba_	0.56	0.94	0.41
d2c0ga1	d6znva1	0.56	0.93	0.40
d2c0ga1	d5mwza_	0.55	0.93	0.37
d2c0ga1	d3iu5a1	0.57	0.93	0.39
d2c0ga1	d5s9ga_	0.57	0.92	0.37
d2c0ga1	d6fgga_	0.57	0.94	0.39
d2c0ga1	d6df4a_	0.59	0.91	0.35
d2c0ga1	d5bt3a_	0.58	0.92	0.38
d6y8ya2	d1z05a2	0.53	0.91	0.30
d6y8ya2	d3epqa2	0.53	0.90	0.29
d6y8ya2	d2ap1a1	0.53	0.90	0.32
d6y8ya2	d2qi2a2	0.51	0.93	0.49
d6y8ya2	d2aa4a2	0.51	0.90	0.34
d6y8ya2	d3djcc2	0.53	0.91	0.36
d6y8ya2	d2nrha2	0.54	0.92	0.38
d6y8ya2	d1woqa1	0.52	0.91	0.32
d6y8ya2	d4czga2	0.52	0.91	0.34
d6y8ya2	d1pd0a4	0.46	0.92	0.24
d6y8ya2	d4htla2	0.51	0.92	0.33
d6y8ya2	d2fxua2	0.53	0.92	0.22
d6y8ya2	d2hoea2	0.52	0.92	0.34
d6y8ya2	d2gupa2	0.52	0.91	0.34
d6y8ya2	d4czga1	0.53	0.91	0.36
d6y8ya2	d2vgna2	0.51	0.93	0.44
d6y8ya2	d1dt9a1	0.50	0.92	0.46
d6y8ya2	d2f9wa1	0.53	0.93	0.29
d6y8ya2	d3bexa2	0.53	0.92	0.38
d6y8ya2	d4af1a2	0.49	0.93	0.45
d6y8ya2	d4a2ba2	0.52	0.91	0.25
d6y8ya2	d3djca1	0.53	0.92	0.43
d6y8ya2	d2gupa1	0.53	0.91	0.40
d6y8ya2	d5tkwa2	0.56	0.93	0.26
d6y8ya2	d1iv0a_	0.49	0.92	0.38
d6y8ya2	d3bexa1	0.53	0.91	0.46
d6y8ya2	d6ksra2	0.51	0.90	0.25
d6y8ya2	d2ch5a2	0.53	0.91	0.34
d6y8ya2	d5ncka2	0.52	0.92	0.34
d6y8ya2	d2bh1a1	0.54	0.93	0.37
d6y8ya2	d1zbsa1	0.53	0.91	0.25
d6y8ya2	d1nu0a_	0.48	0.92	0.45
d6y8ya2	d1huxa_	0.54	0.91	0.26
d6y8ya2	d6q27a1	0.51	0.91	0.40
d6y8ya2	d1vhxa1	0.49	0.93	0.42
d6y8ya2	d2fxua1	0.53	0.91	0.39
d6y8ya2	d4htla1	0.52	0.91	0.39
d6y8ya2	d4ijna1	0.51	0.90	0.27
