query_id	target_id	TM_nocp	TM_cp	ΔCP	foldseek_bitscore	foldseek_evalue	query_sccs	target_sccs	query_species	target_species	query_length	target_length
d1c9ba2	d1vola2	0.98855	0.98855	0.0	740	4.358e-16	a.74.1.2	a.74.1.2	1c9b	1vol	109	109.0
d1c9ba2	d1aisb2	0.77805	0.77805	0.0	267	3.326e-06	a.74.1.2	a.74.1.2	1c9b	1ais	109	95.0
d1c9oa_	d1smxa_	0.71032	0.71032	0.0	106	0.004805	b.40.4.5	b.40.4.5	1c9o	1smx	66	87.0
d1c9oa_	d1go3e1	0.71468	0.71468	0.0	89	0.008915	b.40.4.5	b.40.4.5	1c9o	1go3	66	99.0
d1chca_	d1fbva4	0.53472	0.53472	0.0	74	0.02016	g.44.1.1	g.44.1.1	1chc	1fbv	68	79.0
d1chca_	d3dplr_	0.59362	0.59362	0.0	54	0.1561	g.44.1.1	g.44.1.1	1chc	3dpl	68	87.0
d1cida1	d1eaja_	0.75944	0.75944	0.0	172	0.0001679	b.1.1.1	b.1.1.1	1cid	1eaj	105	124.0
d1cida1	d1f5wa_	0.75872	0.75872	0.0	171	0.000177	b.1.1.1	b.1.1.1	1cid	1f5w	105	124.0
d1cjxa1	d1sqia1	0.71701	0.71701	0.0	213	5.515e-07	d.32.1.3	d.32.1.3	1cjx	1sqi	150	149.0
d1cjxa1	d1tfza1	0.71254	0.71254	0.0	194	2.137e-06	d.32.1.3	d.32.1.3	1cjx	1tfz	150	159.0
d1clca2	d1ut9a2	0.74578	0.74578	0.0	290	1.277e-06	b.1.18.2	b.1.18.2	1clc	1ut9	100	98.0
d1clca2	d2dmba1	0.55464	0.55464	0.0	89	0.008745	b.1.18.2	b.1.18.10	1clc	2dmb	100	111.0
d1cmwa6	d1bgxt1	0.96048	0.96048	0.0	685	9.899e-16	a.60.7.1	a.60.7.1	1cmw	1bgx	116	116.0
d1cmwa6	d1ul1x1	0.56043	0.56043	0.0	34	1.006	a.60.7.1	a.60.7.1	1cmw	1ul1	116	140.0
d1coja2	d3ak2a2	0.86538	0.86538	0.0	357	2.296e-10	d.44.1.1	d.44.1.0	1coj	3ak2	122	119.0
d1coja2	d1p7ga2	0.84297	0.84297	0.0	310	8.087e-09	d.44.1.1	d.44.1.1	1coj	1p7g	122	119.0
d1cpza_	d3dxsx_	0.91273	0.91273	0.0	244	7.74e-07	d.58.17.1	d.58.17.0	1cpz	3dxs	68	74.0
d1cpza_	d3cjkb1	0.88178	0.88178	0.0	239	6.303e-07	d.58.17.1	d.58.17.1	1cpz	3cjk	68	71.0
d1cr5a1	d1qcsa1	0.87864	0.87864	0.0	291	1.194e-07	b.52.2.3	b.52.2.3	1cr5	1qcs	82	86.0
d1cr5a1	d1e32a1	0.7971	0.7971	0.0	147	0.0005766	b.52.2.3	b.52.2.3	1cr5	1e32	82	86.0
d1cr5a2	d1qcsa2	0.80175	0.80175	0.0	219	9.227e-07	d.31.1.1	d.31.1.1	1cr5	1qcs	96	109.0
d1cr5a2	d1e32a3	0.64001	0.64001	0.0	106	0.002781	d.31.1.1	d.31.1.1	1cr5	1e32	96	94.0
d1cwva3	d1f00i1	0.76691	0.76691	0.0	119	0.00245	b.1.14.1	b.1.14.1	1cwv	1f00	103	95.0
d1cwva3	d1f00i2	0.54087	0.54087	0.0	25	2.172	b.1.14.1	b.1.14.1	1cwv	1f00	103	89.0
d1d0da_	d1g6xa_	0.56149	0.56149	0.0	65	0.0662	g.8.1.2	g.8.1.1	1d0d	1g6x	60	58.0
d1d0da_	d1ktha_	0.57309	0.57309	0.0	63	0.1369	g.8.1.2	g.8.1.1	1d0d	1kth	60	58.0
d1d2fa_	d4dgta_	0.93698	0.93698	0.0	1372	2.523e-38	c.67.1.3	c.67.1.0	1d2f	4dgt	361	387.0
d1d2fa_	d3dzza_	0.94245	0.94245	0.0	1254	2.266e-35	c.67.1.3	c.67.1.0	1d2f	3dzz	361	386.0
d1dceb_	d3dssb_	0.98218	0.98218	0.0	2394	2.519e-54	a.102.4.3	a.102.4.3	1dce	3dss	329	327.0
d1dceb_	d1n4qb_	0.88132	0.88132	0.0	837	2.381e-21	a.102.4.3	a.102.4.3	1dce	1n4q	329	346.0
d1dfup_	d1feua_	0.84919	0.84919	0.0	277	1.581e-08	b.53.1.1	b.53.1.1	1dfu	1feu	94	185.0
d1dfup_	d2zjrs1	0.77674	0.77674	0.0	173	6.427e-06	b.53.1.1	b.53.1.1	1dfu	2zjr	94	175.0
d1dgw.1	d1od5a2	0.83089	0.83089	0.0	29	4.737	b.82.1.2	b.82.1.2	1dgw	1od5	76	173.0
d1dgw.1	d2d5fa2	0.82828	0.82828	0.0	27	5.427	b.82.1.2	b.82.1.0	1dgw	2d5f	76	167.0
d1dlwa_	d2gkma_	0.93982	0.93982	0.0	459	1.046e-09	a.1.1.1	a.1.1.1	1dlw	2gkm	116	127.0
d1dlwa_	d1s69a_	0.92695	0.92695	0.0	317	8.431e-07	a.1.1.1	a.1.1.1	1dlw	1s69	116	123.0
d1dn0b2	d1mjuh2	0.79368	0.79368	0.0	278	3.517e-07	b.1.1.2	b.1.1.2	1dn0	1mju	96	96.0
d1dn0b2	d1l6xa2	0.86207	0.86207	0.0	246	8.107e-06	b.1.1.2	b.1.1.2	1dn0	1l6x	96	102.0
d1dnya_	d1t8ka_	0.71184	0.71184	0.0	105	0.01214	a.28.1.2	a.28.1.1	1dny	1t8k	76	77.0
d1dnya_	d1klpa_	0.66592	0.66592	0.0	78	0.07378	a.28.1.2	a.28.1.1	1dny	1klp	76	115.0
d1dqea_	d2wcja_	0.85937	0.85937	0.0	370	1.406e-08	a.39.2.1	a.39.2.0	1dqe	2wcj	137	141.0
d1dqea_	d3k1ea_	0.65012	0.65012	0.0	133	0.002307	a.39.2.1	a.39.2.0	1dqe	3k1e	137	124.0
d1dv5a_	d4bpfa1	0.81254	0.81254	0.0	229	2.828e-06	a.28.1.3	a.28.1.0	1dv5	4bpf	80	77.0
d1dv5a_	d1t8ka_	0.70251	0.70251	0.0	107	0.007541	a.28.1.3	a.28.1.1	1dv5	1t8k	80	77.0
d1dw0a_	d1gu2a_	0.82256	0.82256	0.0	261	4.317e-10	a.3.1.1	a.3.1.1	1dw0	1gu2	112	124.0
d1dw0a_	d1h1oa2	0.50675	0.50675	0.0	56	0.01762	a.3.1.1	a.3.1.4	1dw0	1h1o	112	90.0
d1dwka1	d2b5aa1	0.56668	0.56668	0.0	91	0.0211	a.35.1.4	a.35.1.3	1dwk	2b5a	86	77.0
d1dwka1	d3f52a_	0.53424	0.53424	0.0	83	0.04049	a.35.1.4	a.35.1.0	1dwk	3f52	86	77.0
d1dy5a_	d4aoha_	0.83057	0.83057	0.0	366	1.682e-11	d.5.1.1	d.5.1.1	1dy5	4aoh	124	123.0
d1dy5a_	d2bwka_	0.83348	0.83348	0.0	361	8.333e-12	d.5.1.1	d.5.1.1	1dy5	2bwk	124	117.0
d1e29a_	d1ctja_	0.5783	0.5783	0.0	124	0.00214	a.3.1.1	a.3.1.1	1e29	1ctj	135	89.0
d1e29a_	d4eiea_	0.5367	0.5367	0.0	103	0.005195	a.3.1.1	a.3.1.0	1e29	4eie	135	82.0
d1e2aa_	d2e2aa_	0.96365	0.96365	0.0	579	1.898e-13	a.7.2.1	a.7.2.1	1e2a	2e2a	102	104.0
d1e2aa_	d3l8ra_	0.91459	0.91459	0.0	296	7.725e-07	a.7.2.1	a.7.2.0	1e2a	3l8r	102	102.0
d1e3ha1	d1e3pa1	0.97592	0.97592	0.0	522	6.652e-12	a.4.9.1	a.4.9.1	1e3h	1e3p	83	83.0
d1e3ha3	d1e3pa4	0.99705	0.99705	0.0	1105	2.295e-28	d.14.1.4	d.14.1.4	1e3h	1e3p	137	137.0
d1e3ha3	d2je6b1	0.80648	0.80648	0.0	354	4.905e-11	d.14.1.4	d.14.1.4	1e3h	2je6	137	148.0
d1e3oc1	d1pufa_	0.83926	0.83926	0.0	149	0.000992	a.4.1.1	a.4.1.1	1e3o	1puf	57	77.0
d1e3oc1	d2hosa_	0.86252	0.86252	0.0	149	0.00159	a.4.1.1	a.4.1.1	1e3o	2hos	57	56.0
d1e6ba1	d2cz2a2	0.85875	0.85875	0.0	355	2.694e-09	a.45.1.1	a.45.1.1	1e6b	2cz2	114	125.0
d1e6ba1	d1f2ea1	0.66059	0.66059	0.0	111	0.002654	a.45.1.1	a.45.1.1	1e6b	1f2e	114	121.0
d1e8ga1	d5fxda2	0.96562	0.96562	0.0	1365	1.302e-35	d.58.32.1	d.58.32.0	1e8g	5fxd	287	288.0
d1e8ga1	d1wvfa1	0.92949	0.92949	0.0	1013	3.2419999999999996e-27	d.58.32.1	d.58.32.1	1e8g	1wvf	287	279.0
d1ebda2	d1v59a2	0.92674	0.92674	0.0	512	7.584e-15	c.3.1.5	c.3.1.5	1ebd	1v59	117	122.0
d1ebda2	d3lada2	0.91598	0.91598	0.0	429	1.47e-12	c.3.1.5	c.3.1.5	1ebd	3lad	117	119.0
d1ec7a2	d4g8ta1	0.98363	0.98363	0.0	786	1.897e-20	d.54.1.1	d.54.1.0	1ec7	4g8t	120	132.0
d1ec7a2	d4dhga1	0.85774	0.85774	0.0	383	2.937e-11	d.54.1.1	d.54.1.0	1ec7	4dhg	120	124.0
d1egua1	d1n7oa1	0.99692	0.99692	0.0	2798	2.391e-53	a.102.3.2	a.102.3.2	1egu	1n7o	370	371.0
d1egua1	d1rwha1	0.94767	0.94767	0.0	1182	4.771e-25	a.102.3.2	a.102.3.2	1egu	1rwh	370	369.0
d1elwa_	d4gcoa_	0.90181	0.90181	0.0	396	2.18e-08	a.118.8.1	a.118.8.0	1elw	4gco	117	120.0
d1elwa_	d1a17a_	0.90543	0.90543	0.0	351	2.841e-07	a.118.8.1	a.118.8.1	1elw	1a17	117	159.0
d1epba_	d1epaa_	0.98893	0.98893	0.0	1238	1.754e-27	b.60.1.1	b.60.1.1	1epb	1epa	160	160.0
d1epba_	d4es7a_	0.83579	0.83579	0.0	390	4.329e-10	b.60.1.1	b.60.1.0	1epb	4es7	160	166.0
d1eqfa2	d6df4a_	0.95286	0.95286	0.0	794	5.203e-20	a.29.2.1	a.29.2.0	1eqf	6df4	128	134.0
d1eqfa2	d3nxba_	0.71456	0.71572	0.0011600000000000499	276	8.561e-08	a.29.2.1	a.29.2.0	1eqf	3nxb	128	101.0
d1erja_	d3emha_	0.79123	0.79123	0.0	1018	2.0389999999999998e-27	b.69.4.1	b.69.4.0	1erj	3emh	350	300.0
d1erja_	d1vyhc1	0.78848	0.78848	0.0	875	4.815e-24	b.69.4.1	b.69.4.1	1erj	1vyh	350	310.0
d1es5a_	d3beca2	0.8875	0.8875	0.0	704	1.39e-19	e.3.1.1	e.3.1.1	1es5	3bec	260	259.0
d1es5a_	d1xp4a2	0.88021	0.88021	0.0	494	5.092e-15	e.3.1.1	e.3.1.1	1es5	1xp4	260	269.0
d1esfa1	d1enfa1	0.74659	0.74659	0.0	350	3.368e-10	b.40.2.2	b.40.2.2	1esf	1enf	116	100.0
d1esfa1	d3seba1	0.74666	0.74666	0.0	283	5.638e-09	b.40.2.2	b.40.2.2	1esf	3seb	116	121.0
d1et0a_	d1i2ka_	0.99707	0.99707	0.0	2094	1.118e-54	e.17.1.1	e.17.1.1	1et0	1i2k	254	269.0
d1et0a_	d3daaa_	0.91338	0.91338	0.0	693	1.244e-21	e.17.1.1	e.17.1.1	1et0	3daa	254	277.0
d1eu3a2	d3ea6a2	0.88582	0.88582	0.0	430	7.24e-12	d.15.6.1	d.15.6.1	1eu3	3ea6	113	131.0
d1eu3a2	d1esfa2	0.8818	0.8818	0.0	406	2.453e-11	d.15.6.1	d.15.6.1	1eu3	1esf	113	113.0
d1ex0a2	d1f13a2	0.984	0.984	0.0	884	2.051e-18	b.1.5.1	b.1.5.1	1ex0	1f13	112	112.0
d1ex0a2	d1l9na2	0.90131	0.90131	0.0	408	4.881e-09	b.1.5.1	b.1.5.1	1ex0	1l9n	112	114.0
d1f1ma_	d7bmla_	0.95421	0.95421	0.0	722	3.5e-15	a.24.12.1	a.24.12.0	1f1m	7bml	162	161.0
d1f1ma_	d1yjga_	0.90021	0.90021	0.0	501	1.007e-10	a.24.12.1	a.24.12.0	1f1m	1yjg	162	157.0
d1f1sa2	d1qfha1	0.61879	0.61879	0.0	56	0.1388	b.1.18.2	b.1.18.10	1f1s	1qfh	78	104.0
d1f1sa2	d1h3ga1	0.57653	0.57653	0.0	51	0.1678	b.1.18.2	b.1.18.2	1f1s	1h3g	78	93.0
d1f1ua1	d4ghga1	0.98927	0.98927	0.0	1123	4.106e-29	d.32.1.3	d.32.1.3	1f1u	4ghg	146	145.0
d1f1ua1	d1mpya1	0.81996	0.81996	0.0	427	1.63e-12	d.32.1.3	d.32.1.3	1f1u	1mpy	146	145.0
d1f2ri_	d4d2ka1	0.6724	0.6724	0.0	142	0.0006165	d.15.2.1	d.15.2.0	1f2r	4d2k	100	78.0
d1f2ri_	d1c9fa_	0.56014	0.56014	0.0	100	0.00229	d.15.2.1	d.15.2.1	1f2r	1c9f	100	87.0
d1f44a1	d1a0pa1	0.59401	0.59401	0.0	37	3.128	a.60.9.1	a.60.9.1	1f44	1a0p	110	91.0
d1f6fb1	d1axib1	0.77732	0.77732	0.0	257	7.663e-07	b.1.2.1	b.1.2.1	1f6f	1axi	96	85.0
d1f6fb1	d1cd9b1	0.73712	0.73712	0.0	226	2.375e-06	b.1.2.1	b.1.2.1	1f6f	1cd9	96	107.0
d1f7la_	d1qr0a1	0.63006	0.63006	0.0	125	9.006e-05	d.150.1.2	d.150.1.1	1f7l	1qr0	118	101.0
d1f7la_	d1qr0a2	0.57603	0.57603	0.0	121	0.0001027	d.150.1.2	d.150.1.1	1f7l	1qr0	118	127.0
d1f94a_	d1ff4a_	0.75082	0.75082	0.0	161	0.0004592	g.7.1.1	g.7.1.1	1f94	1ff4	63	65.0
d1f94a_	d1v6pa_	0.74136	0.74136	0.0	135	0.002	g.7.1.1	g.7.1.1	1f94	1v6p	63	62.0
d1f9ma_	d2pu9c_	0.9643	0.9643	0.0	804	2.173e-22	c.47.1.1	c.47.1.1	1f9m	2pu9	112	111.0
d1f9ma_	d3m9ja_	0.87655	0.87655	0.0	398	1.105e-11	c.47.1.1	c.47.1.1	1f9m	3m9j	112	105.0
d1fasa_	d1fsca_	0.86611	0.86611	0.0	383	5.083e-10	g.7.1.1	g.7.1.1	1fas	1fsc	61	61.0
d1fasa_	d1v6pa_	0.68903	0.68903	0.0	140	0.0007604	g.7.1.1	g.7.1.1	1fas	1v6p	61	62.0
d1fcdc1	d1h1oa2	0.83967	0.83967	0.0	185	0.0001003	a.3.1.4	a.3.1.4	1fcd	1h1o	80	90.0
d1fcdc1	d1c53a_	0.79301	0.79301	0.0	163	0.0003242	a.3.1.4	a.3.1.1	1fcd	1c53	80	79.0
d1feca2	d3grsa2	0.90558	0.90558	0.0	356	1.561e-11	c.3.1.5	c.3.1.5	1fec	3grs	117	125.0
d1feca2	d1ebda2	0.85748	0.85748	0.0	349	1.903e-10	c.3.1.5	c.3.1.5	1fec	1ebd	117	117.0
d1fgya_	d1faoa_	0.70454	0.70454	0.0	313	5.277e-08	b.55.1.1	b.55.1.1	1fgy	1fao	127	100.0
d1fgya_	d1eaza_	0.7046	0.7046	0.0	271	4.302e-07	b.55.1.1	b.55.1.1	1fgy	1eaz	127	103.0
d1fi6a_	d3fiaa_	0.72777	0.72777	0.0	194	1.109e-05	a.39.1.6	a.39.1.0	1fi6	3fia	92	94.0
d1fi6a_	d1qjta_	0.60235	0.60971	0.007359999999999922	79	0.02068	a.39.1.6	a.39.1.6	1fi6	1qjt	92	99.0
d1fjgk_	d2uubk1	0.9875	0.9875	0.0	876	5.199e-23	c.55.4.1	c.55.4.1	1fjg	2uub	119	119.0
d1fjgk_	d1vq8n1	0.64375	0.64375	0.0	119	0.0006059	c.55.4.1	c.55.4.1	1fjg	1vq8	119	186.0
d1fjgm_	d2uubm1	0.97957	0.97957	0.0	794	5.827e-21	a.156.1.1	a.156.1.1	1fjg	2uub	125	125.0
d1fnaa_	d2rb8a_	0.86611	0.86611	0.0	284	5.074e-06	b.1.2.1	b.1.2.1	1fna	2rb8	91	93.0
d1fnaa_	d1fnfa3	0.83976	0.84316	0.0034000000000000696	281	3.912e-06	b.1.2.1	b.1.2.1	1fna	1fnf	91	89.0
d1fnfa2	d2rb8a_	0.95103	0.95103	0.0	387	4.808e-08	b.1.2.1	b.1.2.1	1fnf	2rb8	91	93.0
d1fnfa2	d1fnha1	0.88237	0.88237	0.0	356	3.338e-08	b.1.2.1	b.1.2.1	1fnf	1fnh	91	90.0
d1fo5a_	d7bzkb_	0.58227	0.58227	0.0	85	0.003368	c.47.1.1	c.47.1.0	1fo5	7bzk	85	102.0
d1fo5a_	d4ef0a1	0.5459	0.5459	0.0	79	0.002254	c.47.1.1	c.47.1.0	1fo5	4ef0	85	114.0
d1fp5a1	d1l6xa1	0.85601	0.85601	0.0	370	1.564e-09	b.1.1.2	b.1.1.2	1fp5	1l6x	103	105.0
d1fp5a1	d1l6xa2	0.79391	0.79391	0.0	234	4.739e-06	b.1.1.2	b.1.1.2	1fp5	1l6x	103	102.0
d1fsga1	d2jbha_	0.83241	0.83241	0.0	692	7.274e-21	c.61.1.1	c.61.1.1	1fsg	2jbh	230	208.0
d1fsga1	d1tc1a_	0.66856	0.66856	0.0	473	3.986e-15	c.61.1.1	c.61.1.1	1fsg	1tc1	230	175.0
d1fsha_	d2csoa1	0.64659	0.64659	0.0	111	0.001404	a.4.5.31	a.4.5.31	1fsh	2cso	94	115.0
d1fx7a3	d2dtra3	0.75484	0.75484	0.0	180	0.0001044	b.34.1.2	b.34.1.2	1fx7	2dtr	86	77.0
d1fx7a3	d6e55a1	0.58542	0.58542	0.0	76	0.08847	b.34.1.2	b.34.1.2	1fx7	6e55	86	75.0
d1fxjb1	d2oi5a1	0.98832	0.98832	0.0	503	4.916e-12	b.81.1.4	b.81.1.4	1fxj	2oi5	75	201.0
d1fxjb1	d4g3qa2	0.90567	0.90567	0.0	148	0.004982	b.81.1.4	b.81.1.0	1fxj	4g3q	75	217.0
d1fxla2	d1cvja1	0.81581	0.81581	0.0	296	1.482e-08	d.58.7.1	d.58.7.1	1fxl	1cvj	85	80.0
d1fxla2	d3mdfa_	0.84933	0.84933	0.0	283	5.637e-08	d.58.7.1	d.58.7.1	1fxl	3mdf	85	83.0
d1fyhb2	d4eq3a2	0.79971	0.79971	0.0	312	2.495e-08	b.1.2.1	b.1.2.0	1fyh	4eq3	103	105.0
d1fyhb2	d1va9a1	0.73369	0.73369	0.0	156	0.0004863	b.1.2.1	b.1.2.1	1fyh	1va9	103	109.0
d1g1ca_	d1fhga_	0.91714	0.91714	0.0	499	3.318e-13	b.1.1.4	b.1.1.4	1g1c	1fhg	98	102.0
d1g1ca_	d2a38a1	0.89191	0.89191	0.0	495	1.913e-13	b.1.1.4	b.1.1.0	1g1c	2a38	98	100.0
d1g4us2	d1g4wr2	0.97363	0.97363	0.0	1635	1.037e-43	c.45.1.2	c.45.1.2	1g4u	1g4w	230	243.0
d1g4us2	d1lyva_	0.86685	0.86685	0.0	533	3.828e-17	c.45.1.2	c.45.1.2	1g4u	1lyv	230	283.0
d1g5aa1	d3edea3	0.78973	0.78973	0.0	199	8.419e-05	b.71.1.1	b.71.1.0	1g5a	3ede	74	82.0
d1g5aa1	d1h3ga2	0.78645	0.78645	0.0	189	0.0001918	b.71.1.1	b.71.1.1	1g5a	1h3g	74	82.0
d1g8kb_	d1g8jb_	0.9545	0.9545	0.0	997	1.5449999999999997e-22	b.33.1.1	b.33.1.1	1g8k	1g8j	133	128.0
d1g8kb_	d1jm1a_	0.88895	0.88895	0.0	382	1.095e-09	b.33.1.1	b.33.1.1	1g8k	1jm1	133	202.0
d1gefa_	d1ob8a_	0.81942	0.81942	0.0	308	1.615e-09	c.52.1.18	c.52.1.18	1gef	1ob8	120	119.0
d1gefa_	d1hh1a_	0.7333	0.7333	0.0	209	2.657e-07	c.52.1.18	c.52.1.18	1gef	1hh1	120	125.0
d1gh8a_	d1f60b_	0.69079	0.69079	0.0	116	0.004132	d.58.12.1	d.58.12.1	1gh8	1f60	89	90.0
d1gh8a_	d2b7cb_	0.6977	0.6977	0.0	110	0.007856	d.58.12.1	d.58.12.1	1gh8	2b7c	89	90.0
d1gmua1	d1eara1	0.65338	0.65338	0.0	103	0.002482	b.107.1.1	b.107.1.1	1gmu	1ear	70	74.0
d1gnya_	d2cdpa_	0.63312	0.63312	0.0	147	6.478e-05	b.18.1.11	b.18.1.0	1gny	2cdp	153	138.0
d1gnya_	d1oh4a_	0.72285	0.72285	0.0	137	0.000187	b.18.1.11	b.18.1.18	1gny	1oh4	153	174.0
d1go3e2	d4c2mg1	0.77884	0.77884	0.0	127	0.01002	d.230.1.1	d.230.1.2	1go3	4c2m	78	113.0
d1go3e2	d1y14b2	0.6359	0.6359	0.0	110	0.01325	d.230.1.1	d.230.1.1	1go3	1y14	78	68.0
d1gria1	d1k9aa1	0.88513	0.88513	0.0	218	6.691e-05	b.34.2.1	b.34.2.1	1gri	1k9a	50	71.0
d1gria1	d2g6fx1	0.8942	0.8942	0.0	212	9.522e-05	b.34.2.1	b.34.2.1	1gri	2g6f	50	54.0
d1grja2	d2f23a2	0.81497	0.81497	0.0	189	0.0001062	d.26.1.2	d.26.1.2	1grj	2f23	73	79.0
d1grja2	d4dipa1	0.64067	0.64067	0.0	21	5.045	d.26.1.2	d.26.1.0	1grj	4dip	73	120.0
